Unnamed: 0,Z-score,equipment,type_x,b_type,fridge,washer,tv,ac,wheater,bed,closet,fourthTv,net,gas,sofa,tableAndChairs,balcony,lift,park,gender,publisher,title,kind_name,price,price_unit,section_name,street_name,location,area_y,refresh_time,yesterday_hit,surrounding
11833978,0.0,0.0,2房2廳1衛,電梯大樓,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,none,代理人,31期亞灣/民權國小(雙語)/2房平車,整層住家,20000,元/月,前鎮區,光華三路,前鎮區-光華三路,36.0,11小時內,23,"{'type': 'subway_station', 'desc': '距獅甲站', 'distance': '631公尺'}"
11834014,0.0,0.0,5房3廳4衛,別墅,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,none,屋主,別墅整棟出租,整層住家,50000,元/月,鳥松區,山腳路,鳥松區-山腳路254巷17號,90.0,11小時內,11,"{'type': 'restaurant', 'desc': '距万寿西餐厅', 'distance': '109公尺'}"
11834077,0.0,0.0,分租套房,透天厝,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,none,代理人,高雄科技大學、育英護校、建工路電梯套房,分租套房,5300,元/月,三民區,建工路,三民區-建工路351號,5.0,3小時內,17,"{'type': 'bus_station', 'desc': '距莊敬國小', 'distance': '857公尺'}"
11834078,0.0,0.0,獨立套房,透天厝,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,none,屋主,超值學生大套房，2套床組書桌衣櫃,獨立套房,5000,元/月,大社區,成功一巷,大社區-成功一巷19號,6.0,3小時內,49,"{'type': 'restaurant', 'desc': '距紅朋有餐飲屋', 'distance': '109公尺'}"
11834088,0.0,0.0,分租套房,電梯大樓,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,female,代理人,高雄醫學院、後驛捷運站、十全熱河商圈套房,分租套房,10500,元/月,三民區,北平一街,三民區-北平一街118號,9.0,2小時內,19,"{'type': 'subway_station', 'desc': '距後驛', 'distance': '274公尺'}"
11834121,0.0,0.0,獨立套房,透天厝,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,none,屋主,岡山官校超商旁獨立洗衣機全配套房,獨立套房,5500,元/月,岡山區,介壽西路,岡山區-介壽西路183巷,6.0,11小時內,41,"{'type': 'restaurant', 'desc': '距老地方麵館', 'distance': '47公尺'}"
11834137,0.0,0.0,獨立套房,透天厝,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,none,仲介,三多商圈全新套房,獨立套房,8000,元/月,苓雅區,興中二路,苓雅區-興中二路,8.0,7小時內,17,"{'type': 'subway_station', 'desc': '距捷運三多商圈站', 'distance': '267公尺'}"
11834159,0.0,0.0,2房1廳1衛,電梯大樓,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,none,仲介,八德商圈兩房高質感輕奢宅,整層住家,22000,元/月,仁武區,京吉五路,仁武區-京吉五路,29.9,4天前,11,"{'type': 'restaurant', 'desc': '距元氣早午餐', 'distance': '231公尺'}"
11834161,0.0,0.0,獨立套房,透天厝,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,female,屋主,建工高應~超靓美套房！配獨立固定機車位~,獨立套房,6000,元/月,三民區,大順二路,三民區-大順二路297巷,7.0,3小時內,40,"{'type': 'bus_station', 'desc': '距科工館', 'distance': '705公尺'}"
11834187,0.0,0.0,獨立套房,透天厝,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,none,代理人,進三多商圈、時尚現代設計師套房,獨立套房,6500,元/月,苓雅區,武慶三路,苓雅區-武慶三路,8.0,3小時內,114,"{'type': 'bus_station', 'desc': '距三信家商', 'distance': '283公尺'}"
11834220,0.0,0.0,3房2廳2衛,電梯大樓,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,none,仲介,♞漢神大立精品百貨3房+車位,整層住家,25000,元/月,苓雅區,光明街,苓雅區-光明街,25.0,3天前,16,"{'type': 'bus_station', 'desc': '距海邊新田路口', 'distance': '254公尺'}"
11834226,0.0,0.0,獨立套房,電梯大樓,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,none,屋主,六合夜市全新雅緻兩房,獨立套房,17000,元/月,前金區,六合二路,前金區-六合二路,20.0,3小時內,18,"{'type': 'subway_station', 'desc': '距美麗島站', 'distance': '414公尺'}"
11834326,0.0,0.0,獨立套房,透天厝,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,none,屋主,橋頭國小對面(中正路3號)套房出租,獨立套房,5500,元/月,橋頭區,中正路,橋頭區-中正路3號,8.0,3小時內,17,"{'type': 'subway_station', 'desc': '距橋頭火車站', 'distance': '649公尺'}"
11834377,0.0,0.0,2房1廳1衛,電梯大樓,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,none,仲介,幸福川景觀美2房#可另租平車,整層住家,21000,元/月,三民區,河北二路,三民區-河北二路,21.9,3小時內,22,"{'type': 'subway_station', 'desc': '距捷運市議會(舊址)', 'distance': '769公尺'}"
11834418,0.0,0.0,獨立套房,公寓,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,none,屋主,北歐工業風套房,獨立套房,7800,元/月,鳳山區,開明街,鳳山區-開明街34號,9.0,11小時內,41,"{'type': 'subway_station', 'desc': '距鳳山站', 'distance': '604公尺'}"
11834459,0.0,0.0,2房2廳1衛,電梯大樓,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,none,仲介,��R9中央公園民生香榭泳池美景1+1房,整層住家,22000,元/月,前金區,大同一路,前金區-大同一路,25.0,3小時內,10,"{'type': 'subway_station', 'desc': '距捷運市議會(舊址)', 'distance': '339公尺'}"
